outfit_id,product_name,brand,outfit_type,color,season,occasion,body_type,skin_tone,style_tag,price_inr,rating,num_reviews
1,Coral Embroidered A-Line Kurta,Van Heusen Woman,kurta,Coral,spring,casual,pear,warm,ethnic_casual,1000,4.5,4517
2,Rust Solid Regular Kurta,Biba,kurta,Rust,all,casual,pear,warm,ethnic_casual,500,3.6,1955
3,Olive Printed Straight Kurta,HRX,kurta,Olive,all,casual,pear,warm,ethnic_casual,1200,4.5,4514
4,Emerald Block Print Kurta,Allen Solly Woman,kurta,Emerald,autumn,casual,pear,cool,ethnic_casual,400,4.6,1357
5,Turquoise Floral Print Kurta,Allen Solly Woman,kurta,Turquoise,autumn,casual,pear,cool,ethnic_casual,1000,3.8,2807
6,Cobalt Solid Regular Kurta,Anita Dongre,kurta,Cobalt,summer,casual,pear,cool,ethnic_casual,1900,4.7,4995
7,Slate Grey Mirror Work Kurta,Vero Moda,kurta,Slate Grey,summer,casual,pear,cool,ethnic_casual,900,4.9,3150
8,Cobalt Floral Print Kurta,Aurelia,kurta,Cobalt,all,casual,pear,cool,ethnic_casual,1900,4.3,619
9,Royal Blue Floral Print Kurta,W,kurta,Royal Blue,summer,casual,pear,cool,ethnic_casual,1400,4.7,3163
10,Nude Embroidered A-Line Kurta,H&M,kurta,Nude,spring,casual,pear,neutral,ethnic_casual,1900,3.8,2237
11,Pearl Block Print Kurta,Aurelia,kurta,Pearl,summer,casual,pear,neutral,ethnic_casual,1100,4.2,2055
12,Ivory Solid Regular Kurta,Allen Solly Woman,kurta,Ivory,autumn,casual,pear,neutral,ethnic_casual,1300,4.5,508
13,Cream Floral Print Kurta,Mango,kurta,Cream,summer,casual,pear,neutral,ethnic_casual,1500,3.6,4696
14,Pearl Embroidered A-Line Kurta,Aurelia,kurta,Pearl,spring,casual,pear,neutral,ethnic_casual,2400,4.1,3808
15,Burnt Orange Embroidered A-Line Kurta,Ethnic Motif,kurta,Burnt Orange,summer,casual,apple,warm,ethnic_casual,1500,4.5,3559
16,Gold Floral Print Kurta,Van Heusen Woman,kurta,Gold,autumn,casual,apple,warm,ethnic_casual,1000,4.2,794
17,Brick Red Printed Straight Kurta,FabIndia,kurta,Brick Red,summer,casual,apple,warm,ethnic_casual,1100,4.6,3508
18,Gold Solid Regular Kurta,Mango,kurta,Gold,summer,casual,apple,warm,ethnic_casual,2300,4.2,4582
19,Lilac Mirror Work Kurta,HRX,kurta,Lilac,summer,casual,apple,cool,ethnic_casual,1500,4.6,2836
20,Cobalt Solid Regular Kurta,Global Desi,kurta,Cobalt,spring,casual,apple,cool,ethnic_casual,2300,3.5,2207
21,Sage Green Block Print Kurta,Anita Dongre,kurta,Sage Green,summer,casual,apple,cool,ethnic_casual,1600,4.7,4208
22,Ivory Embroidered A-Line Kurta,HRX,kurta,Ivory,spring,casual,apple,neutral,ethnic_casual,400,4.3,4052
23,White Floral Print Kurta,Max Fashion,kurta,White,summer,casual,apple,neutral,ethnic_casual,1400,3.6,4697
24,Black Mirror Work Kurta,Only,kurta,Black,summer,casual,apple,neutral,ethnic_casual,700,4.9,4413
25,Silver Embroidered A-Line Kurta,Rangmanch,kurta,Silver,summer,casual,apple,neutral,ethnic_casual,2300,4.8,1402
26,Olive Solid Regular Kurta,AND,kurta,Olive,all,casual,rectangle,warm,ethnic_casual,1200,4.5,3318
27,Burgundy Solid Regular Kurta,Roadster,kurta,Burgundy,spring,casual,rectangle,warm,ethnic_casual,2200,3.7,1890
28,Rust Printed Straight Kurta,Puma,kurta,Rust,spring,casual,rectangle,warm,ethnic_casual,1300,4.3,108
29,Rust Embroidered A-Line Kurta,W,kurta,Rust,summer,casual,rectangle,warm,ethnic_casual,500,4.7,630
30,Olive Floral Print Kurta,Rangmanch,kurta,Olive,summer,casual,rectangle,warm,ethnic_casual,2400,3.8,1133
31,Emerald Solid Regular Kurta,AND,kurta,Emerald,autumn,casual,rectangle,cool,ethnic_casual,800,3.6,3581
32,Lavender Solid Regular Kurta,Vero Moda,kurta,Lavender,autumn,casual,rectangle,cool,ethnic_casual,600,4.4,856
33,Royal Blue Mirror Work Kurta,Zara,kurta,Royal Blue,autumn,casual,rectangle,cool,ethnic_casual,800,3.8,1608
34,Sage Green Embroidered A-Line Kurta,Forever 21,kurta,Sage Green,autumn,casual,rectangle,cool,ethnic_casual,1200,3.9,2096
35,Ink Blue Solid Regular Kurta,HRX,kurta,Ink Blue,summer,casual,rectangle,cool,ethnic_casual,800,3.6,4478
36,Ink Blue Printed Straight Kurta,Janasya,kurta,Ink Blue,summer,casual,rectangle,cool,ethnic_casual,1400,3.7,4028
37,Cream Printed Straight Kurta,Global Desi,kurta,Cream,autumn,casual,rectangle,neutral,ethnic_casual,2000,3.5,3248
38,Off-White Floral Print Kurta,Forever 21,kurta,Off-White,autumn,casual,rectangle,neutral,ethnic_casual,2400,3.7,2480
39,Cream Block Print Kurta,Ethnic Motif,kurta,Cream,summer,casual,rectangle,neutral,ethnic_casual,600,4.5,518
40,White Solid Regular Kurta,Roadster,kurta,White,all,casual,rectangle,neutral,ethnic_casual,1000,3.6,4210
41,Black Printed Straight Kurta,Nike,kurta,Black,summer,casual,rectangle,neutral,ethnic_casual,700,4.4,1976
42,Dark Grey Block Print Kurta,Van Heusen Woman,kurta,Dark Grey,summer,casual,rectangle,neutral,ethnic_casual,600,4.4,3484
43,Burnt Orange Mirror Work Kurta,Indya,kurta,Burnt Orange,summer,casual,hourglass,warm,ethnic_casual,1700,3.8,3292
44,Mustard Solid Regular Kurta,Zara,kurta,Mustard,spring,casual,hourglass,warm,ethnic_casual,700,3.5,4662
45,Rust Block Print Kurta,AND,kurta,Rust,summer,casual,hourglass,warm,ethnic_casual,2500,3.9,2909
46,Rust Floral Print Kurta,Max Fashion,kurta,Rust,summer,casual,hourglass,warm,ethnic_casual,1000,4.1,4500
47,Warm Beige Block Print Kurta,Aurelia,kurta,Warm Beige,spring,casual,hourglass,warm,ethnic_casual,400,4.4,4593
48,Lilac Embroidered A-Line Kurta,Allen Solly Woman,kurta,Lilac,summer,casual,hourglass,cool,ethnic_casual,900,4.7,4582
49,Teal Floral Print Kurta,Nike,kurta,Teal,spring,casual,hourglass,cool,ethnic_casual,1300,4.5,1717
50,Lilac Block Print Kurta,Only,kurta,Lilac,spring,casual,hourglass,cool,ethnic_casual,1400,4.8,466
51,Cobalt Floral Print Kurta,Biba,kurta,Cobalt,autumn,casual,hourglass,cool,ethnic_casual,400,4.0,1121
52,Lilac Embroidered A-Line Kurta,Ethnic Motif,kurta,Lilac,spring,casual,hourglass,cool,ethnic_casual,2200,4.3,3553
53,Black Mirror Work Kurta,FabIndia,kurta,Black,summer,casual,hourglass,neutral,ethnic_casual,500,4.7,4821
54,Champagne Solid Regular Kurta,FabIndia,kurta,Champagne,summer,casual,hourglass,neutral,ethnic_casual,600,3.9,376
55,Light Grey Mirror Work Kurta,Van Heusen Woman,kurta,Light Grey,summer,casual,hourglass,neutral,ethnic_casual,800,4.0,4636
56,Gold Embroidered A-Line Kurta,Global Desi,kurta,Gold,summer,formal,pear,warm,ethnic_formal,1100,4.7,253
57,Mustard Solid Regular Kurta,Rangmanch,kurta,Mustard,spring,formal,pear,warm,ethnic_formal,1400,3.9,935
58,Peach Solid Regular Kurta,Van Heusen Woman,kurta,Peach,summer,formal,pear,warm,ethnic_formal,1200,4.6,3820
59,Camel Embroidered A-Line Kurta,Van Heusen Woman,kurta,Camel,spring,formal,pear,warm,ethnic_formal,500,4.4,3314
60,Camel Printed Straight Kurta,Janasya,kurta,Camel,spring,formal,pear,warm,ethnic_formal,1500,4.0,4223
61,Peach Floral Print Kurta,Libas,kurta,Peach,all,formal,pear,warm,ethnic_formal,900,4.7,2189
62,Dusty Rose Printed Straight Kurta,Anita Dongre,kurta,Dusty Rose,spring,formal,pear,cool,ethnic_formal,2200,4.0,2619
63,Powder Blue Block Print Kurta,Anita Dongre,kurta,Powder Blue,all,formal,pear,cool,ethnic_formal,2000,4.8,1607
64,Slate Grey Mirror Work Kurta,Forever 21,kurta,Slate Grey,summer,formal,pear,cool,ethnic_formal,400,4.2,4460
65,Lilac Floral Print Kurta,Forever 21,kurta,Lilac,summer,formal,pear,cool,ethnic_formal,700,4.8,2754
66,Ecru Mirror Work Kurta,Max Fashion,kurta,Ecru,summer,formal,pear,neutral,western_casual,2500,3.9,3395
67,Light Grey Mirror Work Kurta,Max Fashion,kurta,Light Grey,autumn,formal,pear,neutral,western_casual,900,3.8,3155
68,Ecru Block Print Kurta,Puma,kurta,Ecru,summer,formal,pear,neutral,western_casual,1600,4.1,53
69,Off-White Embroidered A-Line Kurta,Forever 21,kurta,Off-White,spring,formal,pear,neutral,western_casual,1700,4.2,3672
70,Ecru Block Print Kurta,Only,kurta,Ecru,summer,formal,pear,neutral,western_casual,1100,4.4,2374
71,Rust Mirror Work Kurta,Max Fashion,kurta,Rust,summer,formal,apple,warm,ethnic_formal,1300,4.6,1257
72,Coral Embroidered A-Line Kurta,Only,kurta,Coral,summer,formal,apple,warm,ethnic_formal,700,4.1,4765
73,Terracotta Solid Regular Kurta,Mango,kurta,Terracotta,autumn,formal,apple,warm,ethnic_formal,1400,3.7,95
74,Brick Red Solid Regular Kurta,Van Heusen Woman,kurta,Brick Red,summer,formal,apple,warm,ethnic_formal,1100,4.6,4293
75,Tomato Red Block Print Kurta,Van Heusen Woman,kurta,Tomato Red,summer,formal,apple,warm,ethnic_formal,900,4.1,3856
76,Charcoal Block Print Kurta,Ethnic Motif,kurta,Charcoal,autumn,formal,apple,cool,ethnic_formal,2500,4.1,4538
77,Midnight Navy Mirror Work Kurta,Only,kurta,Midnight Navy,summer,formal,apple,cool,ethnic_formal,2200,3.9,2075
78,Ink Blue Block Print Kurta,Only,kurta,Ink Blue,spring,formal,apple,cool,ethnic_formal,1400,3.9,684
79,Turquoise Embroidered A-Line Kurta,Allen Solly Woman,kurta,Turquoise,spring,formal,apple,cool,ethnic_formal,1800,3.9,4474
80,Cobalt Embroidered A-Line Kurta,Van Heusen Woman,kurta,Cobalt,summer,formal,apple,cool,ethnic_formal,2000,4.5,1802
81,Dark Grey Floral Print Kurta,HRX,kurta,Dark Grey,autumn,formal,apple,neutral,western_casual,2300,4.1,1744
82,Khaki Solid Regular Kurta,Janasya,kurta,Khaki,autumn,formal,apple,neutral,western_casual,500,4.7,4766
83,Dark Grey Printed Straight Kurta,H&M,kurta,Dark Grey,autumn,formal,apple,neutral,western_casual,1600,4.6,3482
84,Tomato Red Floral Print Kurta,Forever 21,kurta,Tomato Red,summer,formal,rectangle,warm,ethnic_formal,2400,3.5,2803
85,Burgundy Mirror Work Kurta,Global Desi,kurta,Burgundy,autumn,formal,rectangle,warm,ethnic_formal,2300,4.8,4425
86,Coral Block Print Kurta,Puma,kurta,Coral,autumn,formal,rectangle,warm,ethnic_formal,500,3.6,3561
87,Mustard Embroidered A-Line Kurta,Biba,kurta,Mustard,autumn,formal,rectangle,warm,ethnic_formal,1500,4.0,1783
88,Lavender Solid Regular Kurta,Allen Solly Woman,kurta,Lavender,spring,formal,rectangle,cool,ethnic_formal,2100,3.9,720
89,Midnight Navy Mirror Work Kurta,HRX,kurta,Midnight Navy,summer,formal,rectangle,cool,ethnic_formal,600,4.9,2916
90,Emerald Mirror Work Kurta,Biba,kurta,Emerald,summer,formal,rectangle,cool,ethnic_formal,500,4.8,1683
91,Ink Blue Block Print Kurta,FabIndia,kurta,Ink Blue,summer,formal,rectangle,cool,ethnic_formal,1400,3.7,987
92,Dusty Rose Solid Regular Kurta,Indya,kurta,Dusty Rose,summer,formal,rectangle,cool,ethnic_formal,1400,4.6,1424
93,Dusty Rose Mirror Work Kurta,Indya,kurta,Dusty Rose,all,formal,rectangle,cool,ethnic_formal,900,4.6,1391
94,Black Printed Straight Kurta,Max Fashion,kurta,Black,all,formal,rectangle,neutral,western_casual,1900,4.1,1674
95,Black Mirror Work Kurta,Aurelia,kurta,Black,all,formal,rectangle,neutral,western_casual,1400,3.6,2520
96,Khaki Printed Straight Kurta,Puma,kurta,Khaki,all,formal,rectangle,neutral,western_casual,600,4.0,3559
97,Ecru Printed Straight Kurta,Roadster,kurta,Ecru,spring,formal,rectangle,neutral,western_casual,1800,3.5,3491
98,Khaki Printed Straight Kurta,Forever 21,kurta,Khaki,autumn,formal,rectangle,neutral,western_casual,1900,4.4,3816
99,Peach Mirror Work Kurta,Roadster,kurta,Peach,summer,formal,hourglass,warm,ethnic_formal,1500,4.4,4458
100,Brick Red Solid Regular Kurta,Forever 21,kurta,Brick Red,autumn,formal,hourglass,warm,ethnic_formal,1500,4.0,2061
101,Saffron Floral Print Kurta,Vero Moda,kurta,Saffron,summer,formal,hourglass,warm,ethnic_formal,1400,4.6,4718
102,Gold Floral Print Kurta,Libas,kurta,Gold,autumn,formal,hourglass,warm,ethnic_formal,2400,4.7,1539
103,Emerald Floral Print Kurta,Zara,kurta,Emerald,spring,formal,hourglass,cool,ethnic_formal,1500,4.7,2313
104,Sage Green Block Print Kurta,AND,kurta,Sage Green,summer,formal,hourglass,cool,ethnic_formal,800,3.8,3379
105,Midnight Navy Embroidered A-Line Kurta,Indya,kurta,Midnight Navy,all,formal,hourglass,cool,ethnic_formal,2400,4.4,4070
106,Midnight Navy Printed Straight Kurta,Max Fashion,kurta,Midnight Navy,summer,formal,hourglass,cool,ethnic_formal,1300,4.1,2043
107,Slate Grey Floral Print Kurta,Only,kurta,Slate Grey,all,formal,hourglass,cool,ethnic_formal,1800,4.1,4558
108,Lavender Mirror Work Kurta,Vero Moda,kurta,Lavender,spring,formal,hourglass,cool,ethnic_formal,1500,3.9,1938
109,Pearl Floral Print Kurta,Anita Dongre,kurta,Pearl,summer,formal,hourglass,neutral,western_casual,1200,3.8,4016
110,Off-White Block Print Kurta,Nike,kurta,Off-White,all,formal,hourglass,neutral,western_casual,1600,4.9,1640
111,Off-White Floral Print Kurta,Global Desi,kurta,Off-White,summer,formal,hourglass,neutral,western_casual,1600,3.5,4425
112,Burnt Orange Silk Saree with Blouse,HRX,saree,Burnt Orange,all,formal,hourglass,warm,traditional,3200,4.5,1084
113,Burgundy Silk Saree with Blouse,Libas,saree,Burgundy,winter,formal,hourglass,warm,traditional,5500,3.9,3971
114,Tomato Red Georgette Saree,Biba,saree,Tomato Red,autumn,formal,hourglass,warm,traditional,2900,4.8,3963
115,Rust Banarasi Silk Saree,Only,saree,Rust,all,formal,hourglass,warm,traditional,1400,4.3,489
116,Ivory Chiffon Printed Saree,W,saree,Ivory,all,formal,hourglass,neutral,traditional,2800,3.7,3459
117,Stone Cotton Handloom Saree,Van Heusen Woman,saree,Stone,all,formal,hourglass,neutral,traditional,7200,4.2,3740
118,Nude Cotton Handloom Saree,Forever 21,saree,Nude,autumn,formal,hourglass,neutral,traditional,3300,4.3,543
119,Stone Georgette Saree,Aurelia,saree,Stone,all,formal,hourglass,neutral,traditional,2500,3.9,715
120,Terracotta Cotton Handloom Saree,W,saree,Terracotta,winter,formal,pear,warm,traditional,2100,3.5,3740
121,Warm Beige Banarasi Silk Saree,Max Fashion,saree,Warm Beige,all,formal,pear,warm,traditional,1100,3.8,2366
122,Warm Beige Silk Saree with Blouse,Rangmanch,saree,Warm Beige,winter,formal,pear,warm,traditional,2700,4.8,4881
123,Burgundy Banarasi Silk Saree,Anita Dongre,saree,Burgundy,winter,formal,pear,warm,traditional,5300,3.8,1270
124,Khaki Silk Saree with Blouse,Biba,saree,Khaki,winter,formal,pear,neutral,traditional,2200,4.6,4924
125,Pearl Chiffon Printed Saree,Vero Moda,saree,Pearl,all,formal,pear,neutral,traditional,1800,4.2,2541
126,Pearl Chiffon Printed Saree,Roadster,saree,Pearl,winter,formal,pear,neutral,traditional,5200,4.2,708
127,Stone Banarasi Silk Saree,Ethnic Motif,saree,Stone,all,formal,pear,neutral,traditional,3400,4.3,261
128,Black Cotton Handloom Saree,Puma,saree,Black,winter,formal,pear,neutral,traditional,1000,4.9,2257
129,Brick Red Banarasi Silk Saree,Roadster,saree,Brick Red,winter,party,hourglass,warm,festive,6100,4.1,2328
130,Mustard Banarasi Silk Saree,Aurelia,saree,Mustard,all,party,hourglass,warm,festive,7500,4.2,797
131,Tomato Red Banarasi Silk Saree,Zara,saree,Tomato Red,autumn,party,hourglass,warm,festive,3400,4.4,1367
132,Dark Grey Chiffon Printed Saree,Rangmanch,saree,Dark Grey,winter,party,hourglass,neutral,western_casual,4100,4.6,4556
133,White Silk Saree with Blouse,Zara,saree,White,winter,party,hourglass,neutral,western_casual,2900,4.0,3361
134,Khaki Silk Saree with Blouse,Rangmanch,saree,Khaki,all,party,hourglass,neutral,western_casual,7900,4.3,3435
135,White Cotton Handloom Saree,H&M,saree,White,winter,party,hourglass,neutral,western_casual,5900,4.6,3671
136,Silver Georgette Saree,Allen Solly Woman,saree,Silver,all,party,hourglass,neutral,western_casual,5300,3.7,2409
137,Warm Beige Silk Saree with Blouse,Libas,saree,Warm Beige,winter,party,pear,warm,festive,6000,4.4,2010
138,Warm Beige Chiffon Printed Saree,HRX,saree,Warm Beige,winter,party,pear,warm,festive,900,4.3,813
139,Terracotta Banarasi Silk Saree,Anita Dongre,saree,Terracotta,all,party,pear,warm,festive,6100,4.7,4132
140,Warm Beige Cotton Handloom Saree,Indya,saree,Warm Beige,autumn,party,pear,warm,festive,3000,4.1,4002
141,Tomato Red Banarasi Silk Saree,HRX,saree,Tomato Red,winter,party,pear,warm,festive,2000,4.0,4960
142,Olive Silk Saree with Blouse,Allen Solly Woman,saree,Olive,winter,party,pear,warm,festive,7100,4.6,3449
143,Silver Chiffon Printed Saree,Libas,saree,Silver,all,party,pear,neutral,western_casual,3100,4.5,4858
144,Stone Georgette Saree,Vero Moda,saree,Stone,winter,party,pear,neutral,western_casual,5200,4.2,2773
145,Champagne Banarasi Silk Saree,Vero Moda,saree,Champagne,all,party,pear,neutral,western_casual,3400,4.7,2006
146,Stone Georgette Saree,Janasya,saree,Stone,winter,party,pear,neutral,western_casual,4200,3.6,3924
147,Pearl Banarasi Silk Saree,Rangmanch,saree,Pearl,winter,party,pear,neutral,western_casual,7300,4.6,1296
148,Coral Mirror Work Lehenga,Anita Dongre,lehenga,Coral,winter,party,hourglass,warm,festive,8700,3.6,3793
149,Coral Net Lehenga with Dupatta,Aurelia,lehenga,Coral,winter,party,hourglass,warm,festive,4000,3.6,2221
150,Camel Net Lehenga with Dupatta,Aurelia,lehenga,Camel,winter,party,hourglass,warm,festive,2800,4.7,4421
151,Peach Net Lehenga with Dupatta,HRX,lehenga,Peach,autumn,party,hourglass,warm,festive,2100,4.4,1973
152,Burgundy Flared Lehenga Set,Ethnic Motif,lehenga,Burgundy,autumn,party,hourglass,warm,festive,3000,4.1,856
153,Brick Red Net Lehenga with Dupatta,Global Desi,lehenga,Brick Red,winter,party,hourglass,warm,festive,12900,3.9,287
154,Lavender Mirror Work Lehenga,H&M,lehenga,Lavender,winter,party,hourglass,cool,festive,7600,4.1,2050
155,Sage Green Flared Lehenga Set,Global Desi,lehenga,Sage Green,all,party,hourglass,cool,festive,4400,3.6,3183
156,Dusty Rose Net Lehenga with Dupatta,Puma,lehenga,Dusty Rose,winter,party,hourglass,cool,festive,3800,3.8,2130
157,Off-White Net Lehenga with Dupatta,Max Fashion,lehenga,Off-White,winter,party,hourglass,neutral,festive,12600,4.3,655
158,Nude Mirror Work Lehenga,Aurelia,lehenga,Nude,autumn,party,hourglass,neutral,festive,8500,4.5,3792
159,Khaki Flared Lehenga Set,Mango,lehenga,Khaki,autumn,party,hourglass,neutral,festive,9400,3.6,3174
160,Stone Mirror Work Lehenga,Indya,lehenga,Stone,autumn,party,hourglass,neutral,festive,6300,3.5,3292
161,Off-White Embroidered Lehenga Choli,Nike,lehenga,Off-White,winter,party,hourglass,neutral,festive,13700,4.2,2394
162,Silver Mirror Work Lehenga,Van Heusen Woman,lehenga,Silver,winter,party,hourglass,neutral,festive,11900,3.8,2103
163,Burgundy Embroidered Lehenga Choli,Max Fashion,lehenga,Burgundy,winter,party,pear,warm,festive,14400,4.1,4797
164,Camel Embroidered Lehenga Choli,Max Fashion,lehenga,Camel,winter,party,pear,warm,festive,6900,4.5,1488
165,Terracotta Mirror Work Lehenga,Roadster,lehenga,Terracotta,winter,party,pear,warm,festive,9700,4.8,1397
166,Burnt Orange Mirror Work Lehenga,Ethnic Motif,lehenga,Burnt Orange,all,party,pear,warm,festive,7000,4.6,3886
167,Teal Net Lehenga with Dupatta,HRX,lehenga,Teal,winter,party,pear,cool,festive,7500,3.6,3282
168,Royal Blue Embroidered Lehenga Choli,Vero Moda,lehenga,Royal Blue,autumn,party,pear,cool,festive,7500,4.4,2197
169,Dusty Rose Mirror Work Lehenga,Anita Dongre,lehenga,Dusty Rose,all,party,pear,cool,festive,12600,3.8,255
170,Stone Embroidered Lehenga Choli,Aurelia,lehenga,Stone,winter,party,pear,neutral,festive,15000,4.1,2525
171,Ecru Embroidered Lehenga Choli,FabIndia,lehenga,Ecru,all,party,pear,neutral,festive,2200,4.8,2543
172,Nude Embroidered Lehenga Choli,Van Heusen Woman,lehenga,Nude,winter,party,pear,neutral,festive,10300,3.7,3766
